"TPL_FAMILY","TPL_ORDER","APGIII_NUMBER"
"Hydrillaceae","Alismatales",NA
"Hydroceraceae","Ericales",NA
"Hydrocharitaceae","Alismatales",34
"Hydrocotylaceae","Apiales",NA
"Hydrogetonaceae","Alismatales",NA
"Hydroleaceae","Solanales",361
"Hydropeltidaceae","Nymphaeales",NA
"Hydrophylacaceae","Gentianales",NA
"Hydrophyllaceae","Boraginales",NA
"Hydrostachyaceae","Cornales",317
"Hymenocardiaceae","Malpighiales",NA
"Hyoscyamaceae","Solanales",NA
"Hypecoaceae","Ranunculales",NA
"Hyperantheraceae","Brassicales",NA
"Hypericaceae","Malpighiales",214
"Hypopityaceae","Ericales",NA
"Hypoxidaceae","Asparagales",67
"Hypseocharitaceae","Geraniales",NA
"Icacinaceae","NearGarryales",347
"Idiospermaceae","Laurales",NA
"Ilicaceae","Aquifoliales",NA
"Illecebraceae","Caryophyllales",NA
"Illiciaceae","Austrobaileyales",NA
"Illigeraceae","Laurales",NA
"Impatientaceae","Ericales",NA
"Imperatoriaceae","Apiales",NA
"Inocarpaceae","Fabales",NA
"Inulaceae","Asterales",NA
"Iodaceae","NearGarryales",NA
"Ionidiaceae","Malpighiales",NA
"Iriarteaceae","Arecales",NA
"Iridaceae","Asparagales",71
"Irvingiaceae","Malpighiales",207
"Isatidaceae","Brassicales",NA
"Isnardiaceae","Myrtales",NA
"Isophysidaceae","Asparagales",NA
"Iteaceae","Saxifragales",131
"Ivaceae","Asterales",NA
"Ixerbaceae","Crossosomatales",NA
"Ixiaceae","Asparagales",NA
"Ixioliriaceae","Asparagales",70
"Ixiolirionaceae","Asparagales",NA
"Ixonanthaceae","Malpighiales",209
"Jalapaceae","Caryophyllales",NA
"Jamboliferaceae","Sapindales",NA
"Japonoliriaceae","Petrosaviales",NA
"Jasionaceae","Asterales",NA
"Jasminiaceae","Lamiales",NA
"Johnsoniaceae","Asparagales",NA
"Joinvilleaceae","Poales",104
"Juglandaceae","Fagales",159
"Julianiaceae","Sapindales",NA
"Juncaceae","Poales",98
"Juncaginaceae","Alismatales",37
"Juniperaceae","Pinales",NA
"Jussiaeaceae","Myrtales",NA
"Justiciaceae","Lamiales",NA
"Kadsuraceae","Austrobaileyales",NA
"Kaliphoraceae","Solanales",NA
"Kalmiaceae","Ericales",NA
"Kaniaceae","Myrtales",NA
"Kasicarpaceae","fossilSarbaicarpales_near_Hamamelidales",NA
"Kiggelariaceae","Malpighiales",NA
"Kingdoniaceae","Ranunculales",NA
"Kingiaceae","unplacedCommelinid",NA
"Kirengeshomaceae","Cornales",NA
"Kirkiaceae","Sapindales",237
"Kobresiaceae","Poales",NA
"Koeberliniaceae","Brassicales",263
"Koelreuteriaceae","Sapindales",NA
"Krameriaceae","Zygophyllales",141
"Labiatae","Lamiales",NA
"Lacandoniaceae","Pandanales",NA
"Lachenaliaceae","Asparagales",NA
"Lacistemataceae","Malpighiales",200
"Lactoridaceae","Piperales",13
"Lactucaceae","Asterales",NA
"Lagerstroemiaceae","Myrtales",NA
"Lagoeciaceae","Apiales",NA
"Laguraceae","Poales",NA
"Lamiaceae","Lamiales",373
"Lampsanaceae","Asterales",NA
"Lanariaceae","Asparagales",66
"Langsdorffiaceae","Santalales",NA
"Lantanaceae","Lamiales",NA
"Lapageriaceae","Liliales",NA
"Lardizabalaceae","Ranunculales",111
"Lasiaceae","Alismatales",NA
"Lasiopetalaceae","Malvales",NA
"Lauraceae","Laurales",28
"Lawsoniaceae","Myrtales",NA
"Laxmanniaceae","Asparagales",NA
"Lecythidaceae","Ericales",328
"Ledaceae","Ericales",NA
"Ledocarpaceae","Geraniales",NA
"Leeaceae","Vitales",NA
"Legnotidaceae","Malpighiales",NA
"Leguminosae","Fabales",NA
"Leitneriaceae","Sapindales",NA
"Lemnaceae","Alismatales",NA
"Lennoaceae","Boraginales",NA
"Lentibulariaceae","Lamiales",377
"Lentiscaceae","Sapindales",NA
"Leoniaceae","Malpighiales",NA
"Leonticaceae","Ranunculales",NA
"Lepidobotryaceae","Celastrales",171
"Lepidocarpaceae","Proteales",NA
"Lepidocaryaceae","Arecales",NA
"Lepidocerataceae","Santalales",NA
"Leptaulaceae","Aquifoliales",NA
"Leptospermaceae","Myrtales",NA
"Lepturaceae","Poales",NA
"Lepuropetalaceae","Celastrales",NA
"Leucojaceae","Asparagales",NA
"Leuctenbergiaceae","Caryophyllales",NA
"Libocedraceae","Pinales",NA
"Licaniaceae","Malpighiales",NA
"Ligustraceae","Lamiales",NA
"Lilaeaceae","Alismatales",NA
"Liliaceae","Liliales",61
"Limeaceae","Caryophyllales",300
"Limnanthaceae","Brassicales",261
"Limnocharitaceae","Alismatales",NA
"Limodoraceae","Asparagales",NA
"Limoniaceae","Caryophyllales",NA
"Limosellaceae","Lamiales",NA
"Linaceae","Malpighiales",208
"Linariaceae","Lamiales",NA
"Lindenbergiaceae","Lamiales",NA
"Linderniaceae","Lamiales",371
"Lindleyaceae","Rosales",NA
"Linnaeaceae","Dipsacales",NA
"Liparidaceae","Asparagales",NA
"Lippayaceae","Gentianales",NA
"Liriaceae","Liliales",NA
"Liriodendraceae","Magnoliales",NA
"Lissocarpaceae","Ericales",NA
"Littorellaceae","Lamiales",NA
"Loasaceae","Cornales",322
"Lobeliaceae","Asterales",NA
"Loganiaceae","Gentianales",352
"Loliaceae","Poales",NA
"Lomandraceae","Asparagales",NA
"Loniceraceae","Dipsacales",NA
"Lopeziaceae","Myrtales",NA
"Lophiocarpaceae","Caryophyllales",301
"Lophiolaceae","Dioscoreales",NA
"Lophiraceae","Malpighiales",NA
"Lophophytaceae","Santalales",NA
"Lophopyxidaceae","Malpighiales",197
"Loranthaceae","Santalales",280
"Lotaceae","Fabales",NA
"Lowiaceae","Zingiberales",83
"Lupulaceae","Rosales",NA
"Luxemburgiaceae","Malpighiales",NA
"Luzuriagaceae","Liliales",NA
"Lychnidaceae","Caryophyllales",NA
"Lyciaceae","Solanales",NA
"Lyginiaceae","Poales",NA
"Lygodisodeaceae","Gentianales",NA
"Lysimachiaceae","Ericales",NA
"Lythraceae","Myrtales",219
"Macarisiaceae","Malpighiales",NA
"Mackinlayaceae","Apiales",NA
"Madiaceae","Asterales",NA
"Maesaceae","Ericales",NA
"Magnoliaceae","Magnoliales",17
"Malaceae","Rosales",NA
"Malesherbiaceae","Malpighiales",NA
"Malortieaceae","Arecales",NA
"Malpighiaceae","Malpighiales",191
"Malvaceae","Malvales",250
"Mangiaceae","Malpighiales",NA
"Manicariaceae","Arecales",NA
"Mapaniaceae","Poales",NA
"Marantaceae","Zingiberales",87
"Marathraceae","Malpighiales",NA
"Marcgraviaceae","Ericales",324
"Martyniaceae","Lamiales",384
"Mastixiaceae","Cornales",NA
"Matricariaceae","Asterales",NA
"Maundiaceae","Alismatales",NA
"Mayacaceae","Poales",96
"Mazacaceae","Lamiales",NA
"Medeolaceae","Liliales",NA
"Medusagynaceae","Malpighiales",NA
"Medusandraceae","Saxifragales",NA
"Melaleucaceae","Myrtales",NA
"Melampyraceae","Lamiales",NA
"Melanophyllaceae","Apiales",NA
"Melanthiaceae","Liliales",53
"Melastomataceae","Myrtales",223
"Meliaceae","Sapindales",243
"Melianthaceae","Geraniales",217
"Melicaceae","Poales",NA
"Meliosmaceae","Sabiales",NA
"Melittidaceae","Lamiales",NA
"Melochiaceae","Malvales",NA
"Memecylaceae","Myrtales",NA
"Mendonciaceae","Lamiales",NA
"Menispermaceae","Ranunculales",112
"Menthaceae","Lamiales",NA
"Menyanthaceae","Asterales",397
"Menzieziaceae","Ericales",NA
"Mercurialaceae","Malpighiales",NA
"Merenderaceae","Liliales",NA
"Mesembryaceae","Caryophyllales",NA
"Mesembryanthemaceae","Caryophyllales",NA
"Mespilaceae","Rosales",NA
"Metasequioaceae","Pinales",NA
"Metteniusaceae","NearGarryales",346
"Meyeniaceae","Lamiales",NA
"Miconiaceae","Myrtales",NA
"Micrantheaceae","Malpighiales",NA
"Microbiotaceae","Pinales",NA
"Microcachrydaceae","Pinales",NA
"Microcycadaceae","Cycadales",NA
"Microstrobaceae","Pinales",NA
"Microteaceae","Caryophyllales",NA
"Miliaceae","Poales",NA
"Milulaceae","Asparagales",NA
"Mimosaceae","Fabales",NA
"Minuartiaceae","Caryophyllales",NA
"Mirabilidaceae","Caryophyllales",NA
"Misodendraceae","Santalales",281
"Mitrastemonaceae","Ericales",343
"Miyoshiaceae","Petrosaviales",NA
"Modeccaceae","Malpighiales",NA
"Molluginaceae","Caryophyllales",308
"Monardaceae","Lamiales",NA
"Monimiaceae","Laurales",27
"Monodoraceae","Magnoliales",NA
"Monotaceae","Malvales",NA
"Monotropaceae","Ericales",NA
"Monsteraceae","Alismatales",NA
"Montiaceae","Caryophyllales",309
"Montiniaceae","Solanales",359
"Moraceae","Rosales",154
"Moreniaceae","Arecales",NA
"Morinaceae","Dipsacales",NA
"Moringaceae","Brassicales",259
"Mouririaceae","Myrtales",NA
"Moutabeaceae","Fabales",NA
"Muntingiaceae","Malvales",248
"Musaceae","Zingiberales",85
"Mutisiaceae","Asterales",NA
"Myodocarpaceae","Apiales",412
"Myoporaceae","Lamiales",NA
"Myricaceae","Fagales",158
"Myriophyllaceae","Saxifragales",NA
"Myristicaceae","Magnoliales",16
"Myrobalanaceae","Myrtales",NA
"Myrothamnaceae","Gunnerales",122
"Myrrhiniaceae","Myrtales",NA
"Myrsinaceae","Ericales",NA
"Myrtaceae","Myrtales",222
"Mystropetalaceae","Santalales",NA
"Nageiaceae","Pinales",NA
"Najadaceae","Alismatales",NA
"Nandinaceae","Ranunculales",NA
"Nanodeaceae","Santalales",NA
"Napoleonaeaceae","Ericales",NA
"Narcissaceae","Asparagales",NA
"Nardaceae","Poales",NA
"Nartheciaceae","Dioscoreales",44
"Nassauviaceae","Asterales",NA
"Naucleaceae","Gentianales",NA
"Nectaropetalaceae","Malpighiales",NA
"Neilliaceae","Rosales",NA
"Nelsoniaceae","Lamiales",NA
"Nelumbonaceae","Proteales",116
"Nemacladaceae","Asterales",NA
"Neocallitropsidaceae","Pinales",NA
"Neottiaceae","Asparagales",NA
"Nepenthaceae","Caryophyllales",288
"Nepetaceae","Lamiales",NA
"Nesogenaceae","Lamiales",NA
"Neuradaceae","Malvales",249
"Neuwiediaceae","Asparagales",NA
"Nhandirobaceae","Cucurbitales",NA
"Nicotianaceae","Solanales",NA
"Nigellaceae","Ranunculales",NA
"Nitrariaceae","Sapindales",236
"Nolanaceae","Solanales",NA
"Nolinaceae","Asparagales",NA
"Nonateliaceae","Gentianales",NA
"Nopaleaceae","Caryophyllales",NA
"Noranteaceae","Ericales",NA
"Nothofagaceae","Fagales",156
"Nupharaceae","Nymphaeales",NA
"Nuytsiaceae","Santalales",NA
"Nyctaginaceae","Caryophyllales",307
"Nyctanthaceae","Lamiales",NA
"Nymphaeaceae","Nymphaeales",4
"Nypaceae","Arecales",NA
"Nyssaceae","Cornales",NA
"Obolariaceae","Gentianales",NA
"Ochnaceae","Malpighiales",187
"Ochranthaceae","Crossosomatales",NA
"Octoknemaceae","Santalales",NA
"Oenotheraceae","Myrtales",NA
"Oftiaceae","Lamiales",NA
"Olacaceae","Santalales",277
"Oleaceae","Lamiales",364
"Oliniaceae","Myrtales",NA
"Olyraceae","Poales",NA
"Onagraceae","Myrtales",220
"Oncothecaceae","NearGarryales,asteridI",345
"Onosmaceae","Boraginales",NA
"Operculariaceae","Gentianales",NA
"Ophiopogonaceae","Asparagales",NA
"Ophioxylaceae","Gentianales",NA
"Ophiraceae","Cornales",NA
"Ophiuraceae","Poales",NA
"Ophrydaceae","Asparagales",NA
"Opiliaceae","Santalales",278
"Oporanthaceae","Asparagales",NA
"Opuntiaceae","Caryophyllales",NA
"Orchidaceae","Asparagales",62
"Ornithogalaceae","Asparagales",NA
"Ornithrophaceae","Sapindales",NA
"Orobanchaceae","Lamiales",376
"Orontiaceae","Alismatales",NA
"Ortegaceae","Caryophyllales",NA
"Oryzaceae","Poales",NA
"Osyridaceae","Santalales",NA
"Oxalidaceae","Oxalidales",175
"Oxycladaceae","Lamiales",NA
"Oxycoccaceae","Ericales",NA
"Oxystylidaceae","Brassicales",NA
"Pachysandraceae","Buxales",NA
"Pacouriaceae","Gentianales",NA
"Paeoniaceae","Saxifragales",126
"Pagamaeaceae","Gentianales",NA
"Paivaeusaceae","Malpighiales",NA
"Palmae","Arecales",NA
"Pancratiaceae","Asparagales",NA
"Pandaceae","Malpighiales",180
"Pandanaceae","Pandanales",51
"Pangiaceae","Malpighiales",NA
"Panicaceae","Poales",NA
"Papaveraceae","Ranunculales",109
"Papayaceae","Brassicales",NA
"Papilionaceae","Fabales",NA
"Pappophoraceae","Poales",NA
"Papyraceae","Poales",NA
"Paracryphiaceae","Paracryphiales",404
"Parasitaxaceae","Pinales",NA
"Parianaceae","Poales",NA
"Paridaceae","Liliales",NA
"Parnassiaceae","Celastrales",NA
"Paronychiaceae","Caryophyllales",NA
"Paropsiaceae","Malpighiales",NA
"Parrotiaceae","Saxifragales",NA
"Partheniaceae","Asterales",NA
"Paspalaceae","Poales",NA
"Passifloraceae","Malpighiales",199
"Pastinacaceae","Apiales",NA
"Paulliniaceae","Sapindales",NA
"Paulowniaceae","Lamiales",375
"Paviaceae","Sapindales",NA
"Pectiantiaceae","Saxifragales",NA
"Pedaliaceae","Lamiales",372
"Pedicularidaceae","Lamiales",NA
"Peganaceae","Sapindales",NA
"Peliosanthaceae","Asparagales",NA
"Pellicieraceae","Ericales",NA
"Penaeaceae","Myrtales",226
"Pennantiaceae","Apiales",407
"Pentadiplandraceae","Brassicales",268
"Pentapetaceae","Malvales",NA
"Pentaphragmataceae","Asterales",392
"Pentaphylacaceae","Ericales",330
"Pentastemonaceae","Pandanales",NA
"Penthoraceae","Saxifragales",137
"Peperomiaceae","Piperales",NA
"Peraceae","Malpighiales",NA
"Perdiciaceae","Asterales",NA
"Peridiscaceae","Saxifragales",125
"Periplocaceae","Gentianales",NA
"Peripterygiaceae","Aquifoliales",NA
"Perseaceae","Laurales",NA
"Persicariaceae","Caryophyllales",NA
"Petenaeaceae","Huerteales",NA
"Petermanniaceae","Liliales",54
"Petiveriaceae","Caryophyllales",NA
"Petreaceae","Lamiales",NA
"Petrosaviaceae","Petrosaviales",43
"Phalaridaceae","Poales",NA
"Phaleriaceae","Malvales",NA
"Pharaceae","Poales",NA
"Pharnaceaceae","Caryophyllales",NA
"Phaseolaceae","Fabales",NA
"Phellinaceae","Asterales",395
"Phelypaeaceae","Lamiales",NA
"Pherosphaeraceae","Pinales",NA
"Philadelphaceae","Cornales",NA
"Philesiaceae","Liliales",57
"Philippodendraceae","Malvales",NA
"Philocrenaceae","Malpighiales",NA
"Philodendraceae","Alismatales",NA
"Philydraceae","Commelinales",79
"Phleaceae","Poales",NA
"Phoenicaceae","Arecales",NA
"Phoradendraceae","Santalales",NA
"Phormiaceae","Asparagales",NA
"Phrymaceae","Lamiales",374
"Phylicaceae","Rosales",NA
"Phyllanthaceae","Malpighiales",189
"Phyllocladaceae","Pinales",NA
"Phyllonomaceae","Aquifoliales",387
"Physenaceae","Caryophyllales",294
"Phytelephantaceae","Arecales",NA
"Phytocrenaceae","nearGarryales",NA
"Phytolaccaceae","Caryophyllales",305
"Piceaceae","Pinales",NA
"Picramniaceae","Picramniales",234
"Picridaceae","Asterales",NA
"Picrodendraceae","Malpighiales",188
"Pilgerodendraceae","Pinales",NA
"Pilocarpaceae","Sapindales",NA
"Pimpinellaceae","Apiales",NA
"Pinaceae","Pinales",NA
"Pinguiculaceae","Lamiales",NA
"Piperaceae","Piperales",12
"Piriquetaceae","Malpighiales",NA
"Pisoniaceae","Caryophyllales",NA
"Pistaciaceae","Sapindales",NA
"Pistiaceae","Alismatales",NA
"Pittosporaceae","Apiales",410
"Plagianthaceae","Malvales",NA
"Plagiopteraceae","Celastrales",NA
"Plantaginaceae","Lamiales",368
"Platanaceae","Proteales",117
"Platycaryaceae","Fagales",NA
"Platycladaceae","Pinales",NA
"Platyspermataceae","Asterales",NA
"Platystemonaceae","Ranunculales",NA
"Plectroniaceae","Myrtales",NA
"Pleurisanthaceae","nearGarryales",NA
"Plocospermataceae","Lamiales",362
"Plumbaginaceae","Caryophyllales",285
"Plumeriaceae","Gentianales",NA
"Poaceae","Poales",106
"Podoaceae","Sapindales",NA
"Podocarpaceae","Pinales",NA
"Podophyllaceae","Ranunculales",NA
"Podostemaceae","Malpighiales",213
"Polemoniaceae","Ericales",327
"Poliothyrsidaceae","Malpighiales",NA
"Polpodaceae","Caryophyllales",NA
"Polycarpaeaceae","Caryophyllales",NA
"Polycnemaceae","Caryophyllales",NA
"Polygalaceae","Fabales",146
"Polygonaceae","Caryophyllales",286
"Polygonanthaceae","Cucurbitales",NA
"Polygonataceae","Asparagales",NA
"Polyosmaceae","Escalloniales",NA
"Pontederiaceae","Commelinales",80
"Poranaceae","Solanales",NA
"Porantheraceae","Malpighiales",NA
"Portulacaceae","Caryophyllales",314
"Portulacariaceae","Caryophyllales",NA
"Posidoniaceae","Alismatales",40
"Potaliaceae","Gentianales",NA
"Potamogetonaceae","Alismatales",39
"Potentillaceae","Rosales",NA
"Poteriaceae","Rosales",NA
"Pothaceae","Alismatales",NA
"Pottingeriaceae","Celastrales",NA
"Primulaceae","Ericales",333
"Prioniaceae","Poales",NA
"Prionotaceae","Ericales",NA
"Prockiaceae","Malpighiales",NA
"Proteaceae","Proteales",118
"Prumnopityaceae","Pinales",NA
"Prunaceae","Rosales",NA
"Pseliaceae","Ranunculales",NA
"Pseudanthaceae","Malpighiales",NA
"Pseudophoenicaceae","Arecales",NA
"Psiloxylaceae","Myrtales",NA
"Psittacanthaceae","Santalales",NA
"Psychotriaceae","Gentianales",NA
"Psylliaceae","Lamiales",NA
"Ptaeroxylaceae","Sapindales",NA
"Pteleaceae","Sapindales",NA
"Pteleocarpaceae","Gentianales",NA
"Pteridophyllaceae","Ranunculales",NA
"Pterisanthaceae","Vitales",NA
"Pterostemonaceae","Saxifragales",NA
"Punicaceae","Myrtales",NA
"Putranjivaceae","Malpighiales",198
"Pycnanthaceae","Orchidaceae",NA
"Pyraceae","Rosales",NA
"Pyrolaceae","Ericales",NA
"Quassiaceae","Sapindales",NA
"Quercaceae","Fagales",NA
"Quiinaceae","Malpighiales",NA
"Quillajaceae","Fabales",143
"Quintiniaceae","Paracryphiales",NA
"Rafflesiaceae","Malpighiales",183
"Ramondaceae","Lamiales",NA
"Randiaceae","Gentianales",NA
"Ranunculaceae","Ranunculales",114
"Ranzaniaceae","Ranunculales",NA
"Rapateaceae","Poales",93
"Raphanaceae","Brassicales",NA
"Reaumuriaceae","Caryophyllales",NA
"Rehmanniaceae","Lamiales",NA
"Resedaceae","Brassicales",270
"Restionaceae","Poales",102
"Retziaceae","Lamiales",NA
"Rhabdodendraceae","Caryophyllales",292
"Rhamnaceae","Rosales",151
"Rhaptopetalaceae","Ericales",NA
"Rhexiaceae","Myrtales",NA
"Rhinanthaceae","Lamiales",NA
"Rhipogonaceae","Liliales",NA
"Rhizophoraceae","Malpighiales",181
"Rhoaceae","Sapindales",NA
"Rhodiolaceae","Saxifragales",NA
"Rhododendraceae","Ericales",NA
"Rhodolaenaceae","Malvales",NA
"Rhodoleiaceae","Saxifragales",NA
"Rhodoraceae","Ericales",NA
"Rhodotypaceae","Rosales",NA
"Rhoipteleaceae","Fagales",NA
"Rhopalocarpaceae","Malvales",NA
"Rhynchocalycaceae","Myrtales",NA
"Rhynchothecaceae","Geraniales",NA
"Ribesiaceae","Saxifragales",NA
"Ricinaceae","Malpighiales",NA
"Ricinocarpaceae","Malpighiales",NA
"Riviniaceae","Caryophyllales",NA
"Roridulaceae","Ericales",339
"Rosaceae","Rosales",147
"Rousseaceae","Asterales",390
"Roxburghiaceae","Pandanales",NA
"Rubiaceae","Gentianales",350
"Rumicaceae","Caryophyllales",NA
"Ruppiaceae","Alismatales",41
"Ruscaceae","Asparagales",NA
"Rutaceae","Sapindales",241
"Sabalaceae","Arecales",NA
"Sabiaceae","Sabiales",115
"Sabiceaceae","Gentianales",NA
"Sabulinaceae","Caryophyllales",NA
"Saccharaceae","Poales",NA
"Saccifoliaceae","Gentianales",NA
"Sagaceae","Arecales",NA
"Saginaceae","Caryophyllales",NA
"Sagoneaceae","Solanales",NA
"Salaciaceae","Celastrales",NA
"Salaxidaceae","Ericales",NA
"Salazariaceae","Lamiales",NA
"Salicaceae","Malpighiales",201
"Salicorniaceae","Caryophyllales",NA
"Salpiglossidaceae","Solanales",NA
"Salsolaceae","Caryophyllales",NA
"Salvadoraceae","Brassicales",265
"Salviaceae","Lamiales",NA
"Sambucaceae","Dipsacales",NA
"Samolaceae","Ericales",NA
"Samydaceae","Malpighiales",NA
"Sanguisorbaceae","Rosales",NA
"Saniculaceae","Apiales",NA
"Sansevieriaceae","Asparagales",NA
"Santalaceae","Santalales",279
"Santolinaceae","Asterales",NA
"Sapindaceae","Sapindales",240
"Sapotaceae","Ericales",331
"Sarbaicarpaceae","fossilSarbaicarpales,??near""Hamamelidales""",NA
"Sarcobataceae","Caryophyllales",306
"Sarcocaceae","Caryophyllales",NA
"Sarcolaenaceae","Malvales",254
"Sarcophytaceae","Santalales",NA
"Sarcospermataceae","Ericales",NA
"Sarcostigmataceae","nearGarryales",NA
"Sargentodoxaceae","Ranunculales",NA
"Sarraceniaceae","Ericales",338
"Saturejaceae","Lamiales",NA
"Saurauiaceae","Ericales",NA
"Saururaceae","Piperales",11
"Sauvagesiaceae","Malpighiales",NA
"Saxegotheaceae","Pinales",NA
"Saxifragaceae","Saxifragales",133
"Scabiosaceae","Dipsacales",NA
"Scaevolaceae","Asterales",NA
"Scandicaceae","Apiales",NA
"Scepaceae","Malpighiales",NA
"Scheuchzeriaceae","Alismatales",35
"Schinaceae","Sapindales",NA
"Schisandraceae","Austrobaileyales",7
"Schizolaenaceae","Malvales",NA
"Schizopetalaceae","Brassicales",NA
"Schlegeliaceae","Lamiales",381
"Schoepfiaceae","Santalales",282
"Schreberaceae","Lamiales",NA
"Sciadopityaceae","Pinales",NA
"Scillaceae","Asparagales",NA
"Scirpaceae","Poales",NA
"Scleranthaceae","Caryophyllales",NA
"Scleriaceae","Poales",NA
"Sclerophylacaceae","Solanales",NA
"Scoliopaceae","Liliales",NA
"Scopariaceae","Lamiales",NA
"Scorodocarpaceae","Santalales",NA
"Scrophulariaceae","Lamiales",369
"Scutellariaceae","Lamiales",NA
"Scybaliaceae","Santalales",NA
"Scyphostegiaceae","Malpighiales",NA
"Scytopetalaceae","Ericales",NA
"Sebestenaceae","Boraginales",NA
"Sedaceae","Saxifragales",NA
"Seguieriaceae","Caryophyllales",NA
"Selaginaceae","Lamiales",NA
"Selinaceae","Apiales",NA
"Sempervivaceae","Saxifragales",NA
"Senecionaceae","Asterales",NA
"Sequoiaceae","Pinales",NA
"Serratulaceae","Asterales",NA
"Sesamaceae","Lamiales",NA
"Sesleriaceae","Poales",NA
"Sesuviaceae","Caryophyllales",NA
"Setchellanthaceae","Brassicales",262
"Sheadendraceae","Myrtales",NA
"Sibthorpiaceae","Lamiales",NA
"Sidaceae","Malvales",NA
"Silenaceae","Caryophyllales",NA
"Sileraceae","Apiales",NA
"Simabaceae","Sapindales",NA
"Simaroubaceae","Sapindales",242
"Simmondsiaceae","Caryophyllales",293
"Sinofranchetiaceae","Ranunculales",NA
"Siparunaceae","Laurales",23
"Siphonanthaceae","Lamiales",NA
"Siphonodontaceae","Celastrales",NA
"Sisymbriaceae","Brassicales",NA
"Sladeniaceae","Ericales",329
"Smeathmanniaceae","Malpighiales",NA
"Smilacaceae","Liliales",59
"Smyrniaceae","Apiales",NA
"Solanaceae","Solanales",358
"Sonneratiaceae","Myrtales",NA
"Soramiaceae","Dilleniales",NA
"Sorbaceae","Rosales",NA
"Soulameaceae","Sapindales",NA
"Sparganiaceae","Poales",NA
"Sparmanniaceae","Malvales",NA
"Spartinaceae","Poales",NA
"Spatheliaceae","Sapindales",NA
"Spergulaceae","Caryophyllales",NA
"Spermacoceaceae","Gentianales",NA
"Sphaerosepalaceae","Malvales",251
"Sphenocleaceae","Solanales",360
"Sphenostemonaceae","Paracryphiales",NA
"Spigeliaceae","Gentianales",NA
"Spinaciaceae","Caryophyllales",NA
"Spiraeaceae","Rosales",NA
"Spiraeanthemaceae","Oxalidales",NA
"Spondiadaceae","Sapindales",NA
"Sporobolaceae","Poales",NA
"Stachydaceae","Lamiales",NA
"Stachyuraceae","Crossosomatales",232
"Stackhousiaceae","Celastrales",NA
"Stangeriaceae","Cycadales",NA
"Stanleyaceae","Brassicales",NA
"Stapeliaceae","Gentianales",NA
"Staphyleaceae","Crossosomatales",230
"Staticaceae","Caryophyllales",NA
"Stegnospermataceae","Caryophyllales",299
"Stellariaceae","Caryophyllales",NA
"Stemonaceae","Pandanales",49
"Stemonuraceae","Aquifoliales",385
"Stenomeridaceae","Dioscoreales",NA
"Sterculiaceae","Malvales",NA
"Stilaginaceae","Malpighiales",NA
"Stilbaceae","Lamiales",370
"Stipaceae","Poales",NA
"Stixaceae","nearResedaceae,Brassicales",NA
"Strasburgeriaceae","Crossosomatales",229
"Stratiotaceae","Alismatales",NA
"Strelitziaceae","Zingiberales",82
"Streptochaetaceae","Poales",NA
"Strombosiaceae","Santalales",NA
"Strumariaceae","Asparagales",NA
"Strychnaceae","Gentianales",NA
"Stylidiaceae","Asterales",393
"Stylobasiaceae","Fabales",NA
"Stylocerataceae","Buxales",NA
"Stypheliaceae","Ericales",NA
"Styracaceae","Ericales",337
"Surianaceae","Fabales",145
"Swartziaceae","Fabales",NA
"Swieteniaceae","Sapindales",NA
"Symphoremataceae","Lamiales",NA
"Symplocaceae","Ericales",335
"Synechanthaceae","Arecales",NA
"Syringaceae","Lamiales",NA
"Taccaceae","Dioscoreales",NA
"Taiwaniaceae","Pinales",NA
"Taktajaniaceae","Canellales",NA
"Talinaceae","Caryophyllales",313
"Tamaceae","Dioscoreales",NA
"Tamaricaceae","Caryophyllales",284
"Tamarindaceae","Fabales",NA
"Tamnaceae","Dioscoreales",NA
"Tanacetaceae","Asterales",NA
"Tapisciaceae","Huerteales",245
"Taxaceae","Pinales",NA
"Taxodiaceae","Pinales",NA
"Tecophilaeaceae","Asparagales",68
"Telephiaceae","Caryophyllales",NA
"Tepuianthaceae","Malvales",NA
"Terminaliaceae","Myrtales",NA
"Ternstroemiaceae","Ericales",NA
"Tetracarpaeaceae","Saxifragales",136
"Tetracentraceae","Trochodendrales",NA
"Tetrachondraceae","Lamiales",365
"Tetraclinaceae","Pinales",NA
"Tetradiclidaceae","Sapindales",NA
"Tetragoniaceae","Caryophyllales",NA
"Tetramelaceae","Cucurbitales",168
"Tetrameristaceae","Ericales",325
"Tetrastylidiaceae","Santalales",NA
"Tetrathecaceae","Oxalidales",NA
"Thalassiaceae","Alismatales",NA
"Thalictraceae","Ranunculales",NA
"Theaceae","Ericales",334
"Theligonaceae","Gentianales",NA
"Themidaceae","Asparagales",NA
"Theobromataceae","Malvales",NA
"Theophrastaceae","Ericales",NA
"Thesiaceae","Santalales",NA
"Thismiaceae","Dioscoreales",NA
"Thlaspiaceae","Brassicales",NA
"Thoaceae","Gnetales",NA
"Thomandersiaceae","Lamiales",380
"Thujaceae","Pinales",NA
"Thujopsidaceae","Pinales",NA
"Thunbergiaceae","Lamiales",NA
"Thurniaceae","Poales",97
"Thymelaeaceae","Malvales",252
"Ticodendraceae","Fagales",161
"Tiliaceae","Malvales",NA
"Tillaeaceae","Saxifragales",NA
"Tillandsiaceae","Poales",NA
"Tinaceae","Dipsacales",NA
"Tithymalaceae","Malpighiales",NA
"Tofieldiaceae","Alismatales",31
"Tormentillaceae","Rosales",NA
